THT,THQCr,Dt,QmT,Si,Mn,P,S,Ni,Cu,Mo,NT,CT,Cr,C,Fatigue
845,8,0,30,0.27,1.52,0.012,0.007,0.03,0.07,0,870,30,0.13,0.38,385
845,24,0,30,0.22,0.83,0.017,0.016,0.01,0.01,0,845,30,0.12,0.43,388
865,24,0,30,0.24,0.72,0.015,0.02,0.02,0.02,0,865,30,0.02,0.37,389
865,24,0,30,0.27,0.78,0.016,0.02,0.01,0.02,0,865,30,0.11,0.37,393
865,24,0,30,0.26,0.7,0.009,0.023,0.08,0.09,0,865,30,0.12,0.36,394
865,24,0,30,0.29,0.7,0.01,0.03,0.06,0.11,0,865,30,0.09,0.38,394
865,24,0,30,0.25,0.82,0.016,0.023,0.03,0.01,0,865,30,0.01,0.35,395
865,24,0,30,0.26,0.73,0.015,0.019,0.02,0.03,0,865,30,0.02,0.32,395
845,24,0,30,0.26,0.76,0.027,0.019,0.01,0.02,0,845,30,0.11,0.45,395
845,24,0,30,0.25,0.72,0.015,0.01,0.13,0.04,0,845,30,0.04,0.47,396
845,8,0,30,0.22,1.56,0.011,0.019,0.06,0.05,0,870,30,0.09,0.4,396
865,24,0,30,0.21,0.77,0.021,0.022,0.01,0.02,0,865,30,0.01,0.35,397
845,8,0,30,0.22,1.57,0.017,0.018,0.05,0.06,0,870,30,0.13,0.39,397
845,24,0,30,0.24,0.71,0.01,0.009,0.12,0.13,0,845,30,0.06,0.45,398
845,24,0,30,0.25,0.79,0.011,0.025,0.12,0.15,0,845,30,0.04,0.45,398
825,24,0,30,0.26,0.37,0.019,0.026,0.04,0.11,0,825,30,0.13,0.56,398
845,8,0,30,0.25,1.38,0.017,0.012,0.02,0.02,0,870,30,0.03,0.4,398
845,8,0,30,0.22,1.48,0.01,0.007,0.03,0.06,0,870,30,0.08,0.41,399
845,8,0,30,0.22,1.58,0.014,0.018,0.04,0.05,0,870,30,0.13,0.41,399
865,24,0,30,0.26,0.74,0.012,0.015,0.01,0.01,0,865,30,0.02,0.34,401
845,24,0,30,0.22,0.78,0.022,0.02,0.01,0.03,0,845,30,0.02,0.42,401
825,24,0,30,0.29,0.83,0.016,0.025,0.04,0.02,0,825,30,0.04,0.52,402
845,8,0,30,0.24,1.51,0.02,0.008,0.04,0.08,0,870,30,0.22,0.41,404
845,8,0,30,0.21,1.6,0.014,0.015,0.03,0.07,0,870,30,0.12,0.42,404
845,8,0,30,0.27,1.52,0.012,0.007,0.03,0.07,0,870,30,0.13,0.38,406
845,8,0,30,0.21,1.59,0.017,0.015,0.03,0.05,0,870,30,0.2,0.38,406
825,24,0,30,0.21,0.8,0.021,0.021,0.02,0.02,0,825,30,0.1,0.52,410
845,8,0,30,0.33,1.58,0.008,0.007,0.06,0.08,0,870,30,0.1,0.45,410
845,8,0,30,0.25,1.47,0.027,0.016,0.02,0.01,0,870,30,0.04,0.4,410
825,24,0,30,0.2,0.75,0.013,0.019,0.01,0.01,0,825,30,0.01,0.54,411
845,8,0,30,0.23,1.5,0.01,0.009,0.04,0.05,0,870,30,0.15,0.42,411
845,8,0,30,0.24,1.58,0.014,0.022,0.06,0.07,0,870,30,0.17,0.42,411
825,24,0,30,0.25,0.68,0.009,0.023,0.03,0.03,0,825,30,0.1,0.56,412
845,24,0,30,0.25,0.79,0.018,0.016,0.02,0.02,0,845,30,0.13,0.45,413
845,24,0,30,0.26,0.76,0.027,0.019,0.01,0.02,0,845,30,0.11,0.45,415
845,24,0,30,0.24,0.82,0.021,0.021,0.03,0.02,0,845,30,0.02,0.44,415
845,24,0,30,0.25,0.75,0.024,0.022,0.02,0.01,0,845,30,0.1,0.48,415
845,24,0,30,0.26,0.8,0.027,0.023,0.02,0.01,0,845,30,0.09,0.49,415
825,24,0,30,0.3,0.83,0.019,0.026,0.02,0.01,0,825,30,0.12,0.53,415
825,24,0,30,0.27,0.7,0.017,0.02,0.06,0.22,0,825,30,0.1,0.54,415
865,24,0,30,0.27,0.78,0.016,0.02,0.01,0.02,0,865,30,0.11,0.37,416
865,24,0,30,0.26,0.73,0.015,0.019,0.02,0.03,0,865,30,0.02,0.32,418
825,24,0,30,0.26,0.76,0.022,0.021,0.02,0.01,0,825,30,0.12,0.54,418
865,24,0,30,0.3,0.74,0.017,0.024,0.01,0.01,0,865,30,0.1,0.35,419
825,24,0,30,0.23,0.76,0.018,0.012,0.01,0.01,0,825,30,0.09,0.55,419
845,24,0,30,0.26,0.7,0.024,0.01,0.01,0.01,0,845,30,0.1,0.42,422
845,8,0,30,0.22,1.58,0.014,0.018,0.04,0.05,0,870,30,0.13,0.41,424
865,24,0,30,0.26,0.76,0.023,0.013,0.01,0.03,0,865,30,0.1,0.33,425
825,24,0,30,0.3,0.82,0.024,0.022,0.02,0.01,0,825,30,0.1,0.57,425
845,8,0,30,0.24,1.51,0.02,0.008,0.04,0.08,0,870,30,0.22,0.41,425
845,8,0,30,0.25,1.34,0.017,0.015,0.02,0.02,0,870,30,0.13,0.4,425
865,24,0,30,0.21,0.75,0.031,0.019,0.01,0.02,0,865,30,0.03,0.33,426
865,24,0,30,0.29,0.7,0.01,0.03,0.06,0.11,0,865,30,0.09,0.38,426
845,8,0,30,0.27,1.52,0.012,0.007,0.03,0.07,0,870,30,0.13,0.38,427
825,24,0,30,0.23,0.74,0.018,0.017,0.01,0.02,0,825,30,0.12,0.57,428
845,8,0,30,0.21,1.59,0.017,0.015,0.03,0.05,0,870,30,0.2,0.38,432
865,24,0,30,0.24,0.72,0.015,0.02,0.02,0.02,0,865,30,0.02,0.37,433
845,8,0,30,0.22,1.57,0.017,0.018,0.05,0.06,0,870,30,0.13,0.39,435
845,24,0,30,0.22,0.78,0.022,0.02,0.01,0.03,0,845,30,0.02,0.42,437
845,24,0,30,0.24,0.71,0.01,0.009,0.12,0.13,0,845,30,0.06,0.45,437
845,24,0,30,0.22,0.83,0.017,0.016,0.01,0.01,0,845,30,0.12,0.43,438
845,8,0,30,0.22,1.56,0.011,0.019,0.06,0.05,0,870,30,0.09,0.4,438
845,8,0,30,0.21,1.51,0.026,0.019,0.02,0.01,0,870,30,0.12,0.42,438
845,24,0,30,0.25,0.72,0.015,0.01,0.13,0.04,0,845,30,0.04,0.47,442
845,8,0,30,0.26,1.46,0.012,0.017,0.02,0.02,0,870,30,0.19,0.43,442
845,8,0,30,0.25,1.38,0.017,0.012,0.02,0.02,0,870,30,0.03,0.4,443
845,8,0,30,0.22,1.58,0.014,0.018,0.04,0.05,0,870,30,0.13,0.41,443
825,24,0,30,0.29,0.83,0.016,0.025,0.04,0.02,0,825,30,0.04,0.52,444
825,24,0,30,0.2,0.75,0.013,0.019,0.01,0.01,0,825,30,0.01,0.54,445
845,8,0,30,0.22,1.48,0.01,0.007,0.03,0.06,0,870,30,0.08,0.41,445
845,24,0,30,0.24,0.82,0.021,0.021,0.03,0.02,0,845,30,0.02,0.44,446
845,24,0,30,0.26,0.76,0.027,0.019,0.01,0.02,0,845,30,0.11,0.45,448
845,8,0,30,0.34,1.38,0.017,0.01,0.08,0.1,0,870,30,0.26,0.43,448
845,8,0,30,0.23,1.5,0.01,0.009,0.04,0.05,0,870,30,0.15,0.42,449
845,8,0,30,0.34,1.36,0.02,0.015,0.07,0.1,0,870,30,0.27,0.41,450
845,8,0,30,0.22,1.56,0.011,0.019,0.06,0.05,0,870,30,0.09,0.4,451
845,8,0,30,0.21,1.6,0.014,0.015,0.03,0.07,0,870,30,0.12,0.42,451
845,8,0,30,0.33,1.58,0.008,0.007,0.06,0.08,0,870,30,0.1,0.45,451
845,24,0,30,0.26,0.7,0.024,0.01,0.01,0.01,0,845,30,0.1,0.42,452
845,24,0,30,0.25,0.79,0.011,0.025,0.12,0.15,0,845,30,0.04,0.45,452
865,24,0,30,0.26,0.76,0.023,0.013,0.01,0.03,0,865,30,0.1,0.33,454
855,8,0,30,0.27,0.71,0.01,0.008,0.02,0.04,0,870,30,0.96,0.42,457
825,24,0,30,0.26,0.37,0.019,0.026,0.04,0.11,0,825,30,0.13,0.56,458
845,24,0,30,0.25,0.79,0.018,0.016,0.02,0.02,0,845,30,0.13,0.45,459
825,24,0,30,0.26,0.76,0.022,0.021,0.02,0.01,0,825,30,0.12,0.54,459
855,8,0,30,0.25,0.73,0.011,0.005,0.06,0.11,0,870,30,0.98,0.39,459
855,8,0,30,0.25,0.72,0.019,0.011,0.12,0.1,0.17,870,30,1.01,0.34,459
845,8,0,30,0.24,1.58,0.014,0.022,0.06,0.07,0,870,30,0.17,0.42,459
845,8,0,30,0.3,1.49,0.014,0.008,0.1,0.1,0,870,30,0.26,0.46,460
825,24,0,30,0.25,0.68,0.009,0.023,0.03,0.03,0,825,30,0.1,0.56,461
845,8,0,30,0.25,1.47,0.027,0.016,0.02,0.01,0,870,30,0.04,0.4,461
845,24,0,30,0.25,0.75,0.024,0.022,0.02,0.01,0,845,30,0.1,0.48,463
855,8,0,30,0.27,0.79,0.012,0.007,0.03,0.04,0.17,870,30,1.03,0.36,463
845,8,0,30,0.26,0.68,0.012,0.018,1.62,0.09,0.17,870,30,0.68,0.43,463
825,24,0,30,0.23,0.74,0.018,0.017,0.01,0.02,0,825,30,0.12,0.57,464
825,24,0,30,0.21,0.8,0.021,0.021,0.02,0.02,0,825,30,0.1,0.52,464
855,8,0,30,0.23,0.81,0.014,0.022,0.05,0.08,0.16,870,30,0.99,0.36,464
845,24,0,30,0.24,0.71,0.01,0.009,0.12,0.13,0,845,30,0.06,0.45,465
845,24,0,30,0.25,0.72,0.015,0.01,0.13,0.04,0,845,30,0.04,0.47,465
825,24,0,30,0.3,0.83,0.019,0.026,0.02,0.01,0,825,30,0.12,0.53,466
855,8,0,30,0.27,0.69,0.015,0.008,0.04,0.05,0.18,870,30,0.99,0.33,467
845,24,0,30,0.26,0.8,0.027,0.023,0.02,0.01,0,845,30,0.09,0.49,468
825,24,0,30,0.23,0.76,0.018,0.012,0.01,0.01,0,825,30,0.09,0.55,468
855,8,0,30,0.25,0.8,0.02,0.017,0.08,0.18,0.19,870,30,0.99,0.35,469
845,8,0,30,0.29,0.74,0.013,0.01,1.84,0.12,0.22,870,30,0.74,0.41,469
855,8,0,30,0.22,0.72,0.016,0.014,0.03,0.01,0,870,30,1.06,0.42,470
845,8,0,30,0.25,1.34,0.017,0.015,0.02,0.02,0,870,30,0.13,0.4,470
845,8,0,30,0.22,0.56,0.016,0.016,2.63,0.1,0,900,30,0.71,0.31,471
845,8,0,30,0.27,0.53,0.018,0.008,2.7,0.07,0,900,30,0.81,0.3,471
845,8,0,30,0.26,0.71,0.016,0.008,1.66,0.12,0.16,870,30,0.72,0.38,471
845,8,0,30,0.28,0.72,0.011,0.007,1.76,0.06,0,870,30,0.79,0.47,471
845,24,0,30,0.22,0.83,0.017,0.016,0.01,0.01,0,845,30,0.12,0.43,475
825,24,0,30,0.27,0.7,0.017,0.02,0.06,0.22,0,825,30,0.1,0.54,475
855,8,0,30,0.29,0.71,0.019,0.013,0.11,0.12,0.16,870,30,1.05,0.34,476
845,8,0,30,0.3,0.49,0.009,0.006,2.66,0.06,0,900,30,0.82,0.33,476
845,8,0,30,0.25,0.7,0.021,0.02,1.63,0.08,0.17,870,30,0.71,0.4,476
845,8,0,30,0.19,0.76,0.013,0.013,1.67,0.06,0,870,30,0.71,0.47,476
855,8,0,30,0.23,0.82,0.012,0.017,0.04,0.05,0.16,870,30,1.09,0.37,477
845,8,0,30,0.33,1.58,0.008,0.007,0.06,0.08,0,870,30,0.1,0.45,477
845,8,0,30,0.24,0.58,0.009,0.01,2.65,0.06,0,900,30,0.71,0.32,477
845,8,0,30,0.16,0.79,0.009,0.016,1.65,0.05,0,870,30,0.73,0.45,477
845,8,0,30,0.29,0.69,0.014,0.011,1.8,0.07,0,870,30,0.77,0.49,479
855,8,0,30,0.25,0.74,0.013,0.019,0.05,0.08,0.16,870,30,0.99,0.41,480
845,8,0,30,0.33,0.73,0.011,0.012,1.71,0.08,0.2,870,30,0.74,0.4,480
855,8,0,30,0.31,0.78,0.012,0.01,0.07,0.13,0,870,30,1.1,0.4,482
845,8,0,30,0.25,1.38,0.017,0.012,0.02,0.02,0,870,30,0.03,0.4,482
845,8,0,30,0.19,0.77,0.01,0.012,1.67,0.07,0.18,870,30,0.72,0.39,482
845,8,0,30,0.23,0.7,0.011,0.01,1.82,0.09,0.18,870,30,0.78,0.4,482
845,8,0,30,0.25,0.74,0.01,0.009,1.74,0.09,0,870,30,0.79,0.44,482
855,8,0,30,0.24,0.74,0.022,0.013,0.03,0.02,0,870,30,1.12,0.43,483
855,8,0,30,0.32,0.79,0.013,0.011,0.05,0.04,0,870,30,1.09,0.4,483
845,8,0,30,0.29,0.54,0.018,0.004,2.64,0.05,0,900,30,0.75,0.32,483
845,8,0,30,0.26,0.71,0.016,0.017,1.8,0.04,0.23,870,30,0.75,0.38,483
845,8,0,30,0.29,0.7,0.012,0.008,1.75,0.07,0.19,870,30,0.74,0.38,483
845,8,0,30,0.21,1.6,0.014,0.015,0.03,0.07,0,870,30,0.12,0.42,484
855,8,0,30,0.26,0.78,0.01,0.004,0.04,0.05,0,870,30,0.94,0.42,485
845,24,0,30,0.25,0.79,0.011,0.025,0.12,0.15,0,845,30,0.04,0.45,486
825,24,0,30,0.3,0.82,0.024,0.022,0.02,0.01,0,825,30,0.1,0.57,486
845,8,0,30,0.22,1.57,0.017,0.018,0.05,0.06,0,870,30,0.13,0.39,486
825,24,0,30,0.29,0.83,0.016,0.025,0.04,0.02,0,825,30,0.04,0.52,489
855,8,0,30,0.35,0.74,0.016,0.02,0.05,0.12,0.15,870,30,0.97,0.36,489
855,8,0,30,0.32,0.81,0.014,0.007,0.03,0.04,0,870,30,1.09,0.42,490
855,8,0,30,0.25,0.72,0.019,0.011,0.12,0.1,0.17,870,30,1.01,0.34,490
855,8,0,30,0.29,0.76,0.017,0.009,0.12,0.12,0.16,870,30,1.01,0.37,490
855,8,0,30,0.24,0.77,0.014,0.015,0.04,0.05,0.2,870,30,1.06,0.41,490
845,8,0,30,0.26,1.46,0.012,0.017,0.02,0.02,0,870,30,0.19,0.43,490
845,8,0,30,0.3,0.49,0.008,0.006,2.66,0.09,0,900,30,0.82,0.32,490
845,8,0,30,0.29,0.79,0.022,0.009,1.92,0.05,0.24,870,30,0.96,0.4,490
845,8,0,30,0.25,0.71,0.015,0.013,1.76,0.09,0.23,870,30,0.82,0.39,490
855,8,0,30,0.3,0.7,0.019,0.012,0.02,0.01,0.15,870,30,1.03,0.35,491
845,8,0,30,0.25,0.73,0.012,0.021,1.69,0.09,0.22,870,30,0.73,0.42,491
845,8,0,30,0.29,0.76,0.017,0.01,1.88,0.03,0.24,870,30,0.9,0.37,491
845,8,0,30,0.2,0.7,0.01,0.016,1.66,0.11,0,870,30,0.73,0.48,491
825,24,0,30,0.25,0.68,0.009,0.023,0.03,0.03,0,825,30,0.1,0.56,492
855,8,0,30,0.26,0.77,0.018,0.005,0.05,0.13,0.17,870,30,0.98,0.4,494
825,24,0,30,0.2,0.75,0.013,0.019,0.01,0.01,0,825,30,0.01,0.54,495
845,8,0,30,0.24,1.58,0.014,0.022,0.06,0.07,0,870,30,0.17,0.42,495
855,8,0,30,0.25,0.71,0.02,0.013,0.02,0.02,0.17,870,30,1.06,0.35,496
855,8,0,30,0.27,0.86,0.019,0.008,0.1,0.12,0.17,870,30,0.96,0.39,496
855,8,0,30,0.26,0.74,0.024,0.017,0.13,0.15,0.17,870,30,1.01,0.4,496
845,8,0,30,0.26,0.65,0.01,0.009,2.63,0.05,0,900,30,0.84,0.34,496
855,8,0,30,0.3,0.73,0.017,0.016,0.05,0.19,0.16,870,30,1.01,0.36,497
845,8,0,30,0.21,1.51,0.026,0.019,0.02,0.01,0,870,30,0.12,0.42,497
845,8,0,30,0.34,1.36,0.02,0.015,0.07,0.1,0,870,30,0.27,0.41,497
845,8,0,30,0.3,0.52,0.013,0.009,2.67,0.06,0,900,30,0.77,0.32,497
845,8,0,30,0.3,0.78,0.016,0.004,1.9,0.04,0.24,870,30,0.86,0.42,498
825,24,0,30,0.26,0.37,0.019,0.026,0.04,0.11,0,825,30,0.13,0.56,500
855,8,0,30,0.25,0.87,0.011,0.015,0.07,0.11,0.18,870,30,1.06,0.4,501
845,24,0,30,0.25,0.75,0.024,0.022,0.02,0.01,0,845,30,0.1,0.48,502
855,8,0,30,0.28,0.77,0.021,0.018,0.09,0.15,0.19,870,30,1.08,0.39,502
855,8,0,30,0.28,0.75,0.015,0.008,0.07,0.12,0.17,870,30,1.04,0.42,502
845,8,0,30,0.34,1.38,0.017,0.01,0.08,0.1,0,870,30,0.26,0.43,502
845,8,0,30,0.3,1.49,0.014,0.008,0.1,0.1,0,870,30,0.26,0.46,502
845,8,0,30,0.27,0.53,0.019,0.009,2.67,0.05,0,900,30,0.87,0.28,502
855,8,0,30,0.32,0.79,0.013,0.011,0.05,0.04,0,870,30,1.09,0.4,503
845,8,0,30,0.27,0.53,0.018,0.008,2.7,0.07,0,900,30,0.81,0.3,503
845,8,0,30,0.26,0.54,0.019,0.003,2.78,0.05,0,900,30,0.89,0.35,503
845,24,0,30,0.26,0.8,0.027,0.023,0.02,0.01,0,845,30,0.09,0.49,504
855,8,0,30,0.27,0.71,0.01,0.008,0.02,0.04,0,870,30,0.96,0.42,504
855,8,0,30,0.24,0.69,0.018,0.016,0.02,0.02,0.19,870,30,1,0.37,504
825,24,0,30,0.21,0.8,0.021,0.021,0.02,0.02,0,825,30,0.1,0.52,505
855,8,0,30,0.29,0.77,0.015,0.017,0.12,0.09,0.15,870,30,1.1,0.42,505
845,8,0,30,0.23,1.5,0.01,0.009,0.04,0.05,0,870,30,0.15,0.42,505
855,8,0,30,0.23,0.81,0.014,0.022,0.05,0.08,0.16,870,30,0.99,0.36,508
845,8,0,30,0.25,1.34,0.017,0.015,0.02,0.02,0,870,30,0.13,0.4,510
845,8,0,30,0.26,1.46,0.012,0.017,0.02,0.02,0,870,30,0.19,0.43,510
845,8,0,30,0.3,0.49,0.008,0.006,2.66,0.09,0,900,30,0.82,0.32,510
845,8,0,30,0.24,0.58,0.009,0.01,2.65,0.06,0,900,30,0.71,0.32,510
855,8,0,30,0.25,0.73,0.011,0.005,0.06,0.11,0,870,30,0.98,0.39,511
855,8,0,30,0.25,0.7,0.026,0.018,0.01,0.02,0.16,870,30,1,0.35,511
855,8,0,30,0.26,0.74,0.019,0.012,0.02,0.02,0.22,870,30,1.07,0.43,511
845,8,0,30,0.29,0.74,0.013,0.01,1.84,0.12,0.22,870,30,0.74,0.41,512
845,24,0,30,0.25,0.79,0.018,0.016,0.02,0.02,0,845,30,0.13,0.45,513
855,8,0,30,0.23,0.82,0.012,0.017,0.04,0.05,0.16,870,30,1.09,0.37,515
855,8,0,30,0.31,0.78,0.012,0.01,0.07,0.13,0,870,30,1.1,0.4,516
855,8,0,30,0.26,0.75,0.017,0.012,0.02,0.02,0.21,870,30,1.05,0.44,516
845,8,0,30,0.25,1.47,0.027,0.016,0.02,0.01,0,870,30,0.04,0.4,516
855,8,0,30,0.22,0.72,0.016,0.014,0.03,0.01,0,870,30,1.06,0.42,517
855,8,0,30,0.24,0.8,0.015,0.024,0.03,0.1,0.18,870,30,1.02,0.41,517
855,8,0,30,0.22,0.7,0.01,0.004,0.04,0.12,0.17,870,30,0.94,0.4,517
845,8,0,30,0.29,0.54,0.018,0.004,2.64,0.05,0,900,30,0.75,0.32,517
855,8,0,30,0.32,0.81,0.014,0.007,0.03,0.04,0,870,30,1.09,0.42,518
845,8,0,30,0.22,0.56,0.016,0.016,2.63,0.1,0,900,30,0.71,0.31,518
855,8,0,30,0.3,0.7,0.019,0.012,0.02,0.01,0.15,870,30,1.03,0.35,519
825,24,0,30,0.23,0.74,0.018,0.017,0.01,0.02,0,825,30,0.12,0.57,522
855,8,0,30,0.24,0.74,0.022,0.013,0.03,0.02,0,870,30,1.12,0.43,522
845,8,0,30,0.27,0.53,0.018,0.008,2.7,0.07,0,900,30,0.81,0.3,522
825,24,0,30,0.23,0.76,0.018,0.012,0.01,0.01,0,825,30,0.09,0.55,523
855,8,0,30,0.27,0.8,0.015,0.012,0.07,0.12,0.16,870,30,1.07,0.38,523
855,8,0,30,0.25,0.74,0.014,0.028,0.24,0.1,0.18,870,30,0.96,0.4,523
845,8,0,30,0.3,0.49,0.009,0.006,2.66,0.06,0,900,30,0.82,0.33,523
855,8,0,30,0.27,0.71,0.01,0.008,0.02,0.04,0,870,30,0.96,0.42,524
855,8,0,30,0.26,0.78,0.01,0.004,0.04,0.05,0,870,30,0.94,0.42,524
855,8,0,30,0.27,0.79,0.012,0.007,0.03,0.04,0.17,870,30,1.03,0.36,524
855,8,0,30,0.29,0.71,0.019,0.013,0.11,0.12,0.16,870,30,1.05,0.34,524
845,8,0,30,0.25,0.7,0.021,0.02,1.63,0.08,0.17,870,30,0.71,0.4,524
855,8,0,30,0.23,0.81,0.014,0.022,0.05,0.08,0.16,870,30,0.99,0.36,526
855,8,0,30,0.25,0.74,0.013,0.019,0.05,0.08,0.16,870,30,0.99,0.41,527
855,8,0,30,0.25,0.8,0.02,0.017,0.08,0.18,0.19,870,30,0.99,0.35,530
845,8,0,30,0.34,1.36,0.02,0.015,0.07,0.1,0,870,30,0.27,0.41,530
845,8,0,30,0.24,0.58,0.009,0.01,2.65,0.06,0,900,30,0.71,0.32,530
825,24,0,30,0.3,0.83,0.019,0.026,0.02,0.01,0,825,30,0.12,0.53,531
845,8,0,30,0.25,0.73,0.012,0.021,1.69,0.09,0.22,870,30,0.73,0.42,531
845,8,0,30,0.26,0.71,0.016,0.008,1.66,0.12,0.16,870,30,0.72,0.38,531
825,24,0,30,0.3,0.82,0.024,0.022,0.02,0.01,0,825,30,0.1,0.57,533
825,24,0,30,0.26,0.76,0.022,0.021,0.02,0.01,0,825,30,0.12,0.54,534
855,8,0,30,0.25,0.72,0.019,0.011,0.12,0.1,0.17,870,30,1.01,0.34,535
855,8,0,30,0.27,0.69,0.015,0.008,0.04,0.05,0.18,870,30,0.99,0.33,535
855,8,0,30,0.25,0.73,0.011,0.005,0.06,0.11,0,870,30,0.98,0.39,536
855,8,0,30,0.27,0.8,0.015,0.012,0.07,0.12,0.16,870,30,1.07,0.38,536
845,8,0,30,0.34,1.38,0.017,0.01,0.08,0.1,0,870,30,0.26,0.43,536
845,8,0,30,0.26,0.65,0.01,0.009,2.63,0.05,0,900,30,0.84,0.34,536
845,8,0,30,0.22,0.56,0.016,0.016,2.63,0.1,0,900,30,0.71,0.31,537
845,8,0,30,0.27,0.53,0.019,0.009,2.67,0.05,0,900,30,0.87,0.28,537
845,8,0,30,0.16,0.79,0.009,0.016,1.65,0.05,0,870,30,0.73,0.45,537
855,8,0,30,0.27,0.86,0.019,0.008,0.1,0.12,0.17,870,30,0.96,0.39,539
845,8,0,30,0.26,0.54,0.019,0.003,2.78,0.05,0,900,30,0.89,0.35,540
845,8,0,30,0.3,0.52,0.013,0.009,2.67,0.06,0,900,30,0.77,0.32,540
825,24,0,30,0.27,0.7,0.017,0.02,0.06,0.22,0,825,30,0.1,0.54,541
855,8,0,30,0.29,0.76,0.017,0.009,0.12,0.12,0.16,870,30,1.01,0.37,542
845,8,0,30,0.33,0.73,0.011,0.012,1.71,0.08,0.2,870,30,0.74,0.4,542
855,8,0,30,0.26,0.74,0.024,0.017,0.13,0.15,0.17,870,30,1.01,0.4,543
855,8,0,30,0.25,0.87,0.011,0.015,0.07,0.11,0.18,870,30,1.06,0.4,543
845,8,0,30,0.23,0.7,0.011,0.01,1.82,0.09,0.18,870,30,0.78,0.4,543
845,8,0,30,0.29,0.79,0.022,0.009,1.92,0.05,0.24,870,30,0.96,0.4,543
845,8,0,30,0.2,0.7,0.01,0.016,1.66,0.11,0,870,30,0.73,0.48,543
845,8,0,30,0.29,0.69,0.014,0.011,1.8,0.07,0,870,30,0.77,0.49,543
855,8,0,30,0.25,0.71,0.02,0.013,0.02,0.02,0.17,870,30,1.06,0.35,546
845,8,0,30,0.26,0.65,0.01,0.009,2.63,0.05,0,900,30,0.84,0.34,549
